,BIG5,AQ,PERCI,GAD7,LSAS,PHQ9,SIS,AU_r_mean,AU_r_std,Pitch,Loudness,Jitter,Average_change_rate,Negative_noun_count,Negative_verb_count,Negative_word_count
BIG5,1.0,0.6425318992730287,0.25189276207623384,0.42395011905845087,-0.21676174805363121,0.16756131097808763,-0.011509077672715601,-0.3934088132914521,-0.45231656212619925,-0.2382947918054051,0.45796576815972123,-0.11370982000832638,0.1962981417835891,0.3362319573158869,0.47173828372303844,0.444007767531129
AQ,0.6425318992730287,1.0,0.5343449146300693,0.3446335514330177,-0.46344570083493386,-0.005356027489320154,-0.042234591685991314,-0.11009728936418296,-0.24397531579323256,-0.3311836772389707,0.3168507823106751,-0.15346172839425917,0.21136343185261505,0.11344672054294709,0.30662785092676215,0.2224318778052137
PERCI,0.25189276207623384,0.5343449146300693,1.0,0.6426551164853755,0.0266711243692153,0.43701200187719,0.2117875178060245,-0.005684662549714975,-0.057755575859586544,-0.4199504808166233,-0.0765124748899557,-0.11387654228010528,0.28955860952386897,-0.29759980623429205,0.013587647481896854,-0.1806734315195531
GAD7,0.42395011905845087,0.3446335514330177,0.6426551164853755,1.0,0.29703954139354527,0.7516731702839526,0.3737409474517708,-0.10920162547982243,-0.16041016715925904,-0.24396529160087443,0.07000510696325768,0.07683763831028287,0.18807590502475774,-0.050478063921442794,0.2942030632259357,0.11310799900694406
LSAS,-0.21676174805363121,-0.46344570083493386,0.0266711243692153,0.29703954139354527,1.0,0.37660327054335907,0.16540772687428346,0.2445031630400351,0.2831240496151606,0.13468868523434757,-0.55408246151565,-0.14065804503933085,-0.08858007731540281,-0.3876731959151422,-0.2581426640317328,-0.37120351089614156
PHQ9,0.16756131097808763,-0.005356027489320154,0.43701200187719,0.7516731702839526,0.37660327054335907,1.0,0.37148626112209787,-0.25566315054947536,-0.27247805334700465,-0.2979876242822558,-0.08314042567030419,0.0312974380149016,0.24326033108695197,-0.19048830277607143,0.17381814654559305,-0.03432750489783595
SIS,-0.011509077672715601,-0.042234591685991314,0.2117875178060245,0.3737409474517708,0.16540772687428346,0.37148626112209787,1.0,0.10075048635325995,-0.05122940543854807,-0.020656104574456113,-0.05019407686598285,-0.0988412761224722,0.16232342174287778,-0.2459172976788468,-0.1797763540713509,-0.24336217405650204
AU_r_mean,-0.3934088132914521,-0.11009728936418296,-0.005684662549714975,-0.10920162547982243,0.2445031630400351,-0.25566315054947536,0.10075048635325995,1.0,0.9349350380591953,0.01235555430931715,-0.3741226842952771,-0.2564906365462458,-0.34252627707113686,-0.493168871609517,-0.5820569476844416,-0.597142688850825
AU_r_std,-0.45231656212619925,-0.24397531579323256,-0.057755575859586544,-0.16041016715925904,0.2831240496151606,-0.27247805334700465,-0.05122940543854807,0.9349350380591953,1.0,0.18696004946522068,-0.32548723049678147,-0.18340785787155028,-0.37443553699903304,-0.4126930913290907,-0.5657867775784682,-0.538463474404318
Pitch,-0.2382947918054051,-0.3311836772389707,-0.4199504808166233,-0.24396529160087443,0.13468868523434757,-0.2979876242822558,-0.020656104574456113,0.01235555430931715,0.18696004946522068,1.0,0.16759891384688538,0.11142149755022367,-0.12727473519474766,0.13899462796357953,-0.184549742329661,-0.0033773234255216225
Loudness,0.45796576815972123,0.3168507823106751,-0.0765124748899557,0.07000510696325768,-0.55408246151565,-0.08314042567030419,-0.05019407686598285,-0.3741226842952771,-0.32548723049678147,0.16759891384688538,1.0,0.3071786369306559,0.051367660314787976,0.5392075093326547,0.24344532385394918,0.4593694736835024
Jitter,-0.11370982000832638,-0.15346172839425917,-0.11387654228010528,0.07683763831028287,-0.14065804503933085,0.0312974380149016,-0.0988412761224722,-0.2564906365462458,-0.18340785787155028,0.11142149755022367,0.3071786369306559,1.0,0.38683924414355175,0.4348226824092689,0.19873738064171517,0.3716324695581819
Average_change_rate,0.1962981417835891,0.21136343185261505,0.28955860952386897,0.18807590502475774,-0.08858007731540281,0.24326033108695197,0.16232342174287778,-0.34252627707113686,-0.37443553699903304,-0.12727473519474766,0.051367660314787976,0.38683924414355175,1.0,0.06792198649113586,0.19867888747965395,0.14060766716610926
Negative_noun_count,0.3362319573158869,0.11344672054294709,-0.29759980623429205,-0.050478063921442794,-0.3876731959151422,-0.19048830277607143,-0.2459172976788468,-0.493168871609517,-0.4126930913290907,0.13899462796357953,0.5392075093326547,0.4348226824092689,0.06792198649113586,1.0,0.5822888147214786,0.9163512884684378
Negative_verb_count,0.47173828372303844,0.30662785092676215,0.013587647481896854,0.2942030632259357,-0.2581426640317328,0.17381814654559305,-0.1797763540713509,-0.5820569476844416,-0.5657867775784682,-0.184549742329661,0.24344532385394918,0.19873738064171517,0.19867888747965395,0.5822888147214786,1.0,0.8590789530256069
Negative_word_count,0.444007767531129,0.2224318778052137,-0.1806734315195531,0.11310799900694406,-0.37120351089614156,-0.03432750489783595,-0.24336217405650204,-0.597142688850825,-0.538463474404318,-0.0033773234255216225,0.4593694736835024,0.3716324695581819,0.14060766716610926,0.9163512884684378,0.8590789530256069,1.0
